Jintra	DeltaJ	Freq1	Freq2	Freq3
-12.200000	-14.006667	20.088325	15.090215	35.178540
-12.200000	-14.503333	20.002441	15.250844	35.253284
-12.200000	-15.000000	19.924474	15.411765	35.336239
-13.100000	-0.100000	0.000000	13.100175	13.100175
-13.100000	-0.596667	0.000000	13.106225	13.106225
-13.100000	-1.093333	0.000000	13.120881	13.120881
-13.100000	-1.590000	0.000000	13.144089	13.144089
-13.100000	-2.086667	0.000000	13.175767	13.175767
-13.100000	-2.583333	0.000000	13.215800	13.215800
-13.100000	-3.080000	0.000000	13.264048	13.264048
-13.100000	-3.576667	0.000000	13.320341	13.320341
-13.100000	-4.073333	0.000000	13.384485	13.384485
-13.100000	-4.570000	0.000000	13.456262	13.456262
-13.100000	-5.066667	0.000000	13.535430	13.535430
-13.100000	-5.563333	0.000000	13.621730	13.621730
-13.100000	-6.060000	0.000000	13.714883	13.714883
-13.100000	-6.556667	0.000000	13.814595	13.814595
-13.100000	-7.053333	0.000000	13.920557	13.920557
-13.100000	-7.550000	0.000000	14.032449	14.032449
-13.100000	-8.046667	0.000000	14.149943	14.149943
-13.100000	-8.543333	0.000000	14.272700	14.272700
-13.100000	-9.040000	0.000000	14.400379	14.400379
-13.100000	-9.536667	0.000000	14.532632	14.532632
-13.100000	-10.033333	0.000000	14.669109	14.669109
-13.100000	-10.530000	0.000000	14.809461	14.809461
-13.100000	-11.026667	0.000000	14.953339	14.953339
-13.100000	-11.523333	0.000000	15.100394	15.100394
-13.100000	-12.020000	0.000000	15.250283	15.250283
-13.100000	-12.516667	0.000000	15.402666	15.402666
-13.100000	-13.013333	21.992442	15.557209	37.549651
-13.100000	-13.510000	21.879057	15.713583	37.592641
-13.100000	-14.006667	21.771915	15.871469	37.643384
-13.100000	-14.503333	21.671300	16.030553	37.701853
-13.100000	-15.000000	21.577491	16.190531	37.768023
-14.000000	-0.100000	0.000000	14.000164	14.000164
-14.000000	-0.596667	0.000000	14.005825	14.005825
-14.000000	-1.093333	0.000000	14.019542	14.019542
-14.000000	-1.590000	0.000000	14.041271	14.041271
-14.000000	-2.086667	0.000000	14.070943	14.070943
-14.000000	-2.583333	0.000000	14.108465	14.108465
-14.000000	-3.080000	0.000000	14.153721	14.153721
-14.000000	-3.576667	0.000000	14.206571	14.206571
-14.000000	-4.073333	0.000000	14.266856	14.266856
-14.000000	-4.570000	0.000000	14.334392	14.334392
-14.000000	-5.066667	0.000000	14.408982	14.408982
-14.000000	-5.563333	0.000000	14.490406	14.490406
-14.000000	-6.060000	0.000000	14.578432	14.578432
-14.000000	-6.556667	0.000000	14.672812	14.672812
-14.000000	-7.053333	0.000000	14.773287	14.773287
-14.000000	-7.550000	0.000000	14.879584	14.879584
-14.000000	-8.046667	0.000000	14.991424	14.991424
-14.000000	-8.543333	0.000000	15.108519	15.108519
-14.000000	-9.040000	0.000000	15.230572	15.230572
-14.000000	-9.536667	0.000000	15.357285	15.357285
-14.000000	-10.033333	0.000000	15.488355	15.488355
-14.000000	-10.530000	0.000000	15.623475	15.623475
-14.000000	-11.026667	0.000000	15.762340	15.762340
-14.000000	-11.523333	0.000000	15.904643	15.904643
-14.000000	-12.020000	0.000000	16.050080	16.050080
-14.000000	-12.516667	0.000000	16.198346	16.198346
-14.000000	-13.013333	0.000000	16.349142	16.349142
-14.000000	-13.510000	23.598271	16.502173	40.100444
-14.000000	-14.006667	23.480214	16.657147	40.137361
-14.000000	-14.503333	23.367776	16.813778	40.181554
-14.000000	-15.000000	23.261211	16.971786	40.232998
-14.900000	-0.100000	0.000000	14.900154	14.900154
-14.900000	-0.596667	0.000000	14.905474	14.905474
-14.900000	-1.093333	0.000000	14.918364	14.918364
-14.900000	-1.590000	0.000000	14.938790	14.938790
-14.900000	-2.086667	0.000000	14.966694	14.966694
-14.900000	-2.583333	0.000000	15.001998	15.001998
-14.900000	-3.080000	0.000000	15.044606	15.044606
-14.900000	-3.576667	0.000000	15.094401	15.094401
-14.900000	-4.073333	0.000000	15.151250	15.151250
-14.900000	-4.570000	0.000000	15.214999	15.214999
-14.900000	-5.066667	0.000000	15.285482	15.285482
-14.900000	-5.563333	0.000000	15.362515	15.362515
-14.900000	-6.060000	0.000000	15.445901	15.445901
-14.900000	-6.556667	0.000000	15.535430	15.535430
-14.900000	-7.053333	0.000000	15.630882	15.630882
-14.900000	-7.550000	0.000000	15.732023	15.732023
-14.900000	-8.046667	0.000000	15.838615	15.838615
-14.900000	-8.543333	0.000000	15.950409	15.950409
-14.900000	-9.040000	0.000000	16.067150	16.067150
-14.900000	-9.536667	0.000000	16.188579	16.188579
-14.900000	-10.033333	0.000000	16.314432	16.314432
-14.900000	-10.530000	0.000000	16.444441	16.444441
-14.900000	-11.026667	0.000000	16.578336	16.578336
-14.900000	-11.523333	0.000000	16.715849	16.715849
-14.900000	-12.020000	0.000000	16.856707	16.856707
